"","pitch_type","release_speed","zone","stand","p_throws","description","type","bb_type","balls","strikes","on_3b","on_2b","on_1b","outs_when_up","pitch_number"
"23474","FF",91.4,1,"L","R","ball","B",NA,3,1,NA,NA,NA,1,5
"23475","FF",94.1,12,"R","R","foul","S",NA,0,0,NA,NA,NA,2,1
"23476","SL",80.7,14,"R","R","ball","B",NA,0,0,NA,NA,NA,1,1
"23477","CH",86.5,7,"L","R","hit_into_play","X","fly_ball",1,0,NA,NA,NA,1,2
"23478","FF",93.5,14,"R","R","ball","B",NA,0,0,NA,NA,NA,0,1
"23479","SL",82.9,14,"R","R","swinging_strike","S",NA,1,0,600474,NA,NA,2,2
"23480","FF",90.7,5,"R","R","called_strike","S",NA,0,0,NA,NA,NA,0,1
"23481","CH",83.6,5,"L","R","foul","S",NA,0,1,663647,668804,596056,1,2
"23482","FF",94.7,2,"L","R","swinging_strike","S",NA,0,0,NA,NA,650391,1,1
"23483","FF",92.7,12,"R","L","ball","B",NA,1,2,NA,NA,NA,0,5
"23484","CH",90.4,9,"L","R","called_strike","S",NA,1,0,NA,NA,NA,2,2
"23485","CH",83.2,9,"R","L","called_strike","S",NA,0,0,NA,NA,596059,1,1
"23486","CH",84.7,7,"L","L","called_strike","S",NA,1,2,NA,527038,NA,2,4
"23487","SL",81.3,14,"R","R","ball","B",NA,0,2,NA,NA,NA,1,3
"23488","SL",92.2,14,"L","R","ball","B",NA,1,2,NA,NA,NA,0,5
"23489","KC",88.5,14,"R","R","ball","B",NA,1,2,NA,624428,NA,2,4
"23490","SL",88.8,12,"R","R","ball","B",NA,1,0,NA,NA,649557,2,2
"23491","CU",74.9,8,"R","L","swinging_strike","S",NA,3,2,NA,NA,624415,0,7
"23492","FC",82.9,14,"L","R","ball","B",NA,0,0,NA,NA,NA,0,1
"23493","SI",90.7,6,"L","L","called_strike","S",NA,0,1,657656,NA,NA,1,2
"23494","SL",84.7,9,"R","R","foul","S",NA,2,2,NA,NA,624503,0,6
"23495","CH",85.5,7,"R","R","foul","S",NA,2,2,NA,NA,NA,0,8
"23496","SL",85.5,14,"R","R","ball","B",NA,0,0,NA,NA,NA,1,1
"23497","SL",82.3,9,"R","R","swinging_strike","S",NA,0,2,NA,NA,NA,0,3
"23498","FF",91.6,12,"R","L","ball","B",NA,0,0,NA,NA,664023,0,1
"23499","SI",95.5,11,"L","R","ball","B",NA,1,1,NA,NA,NA,0,3
"23500","KC",82.7,8,"R","R","foul","S",NA,1,2,516770,NA,543281,2,4
"23501","SL",88.5,14,"L","R","ball","B",NA,1,1,NA,NA,NA,0,3
"23502","CH",83.6,11,"L","R","hit_into_play","X","line_drive",2,1,NA,NA,452678,0,4
"23503","CH",79.7,9,"R","L","swinging_strike","S",NA,0,0,NA,NA,NA,2,1
"23504","CU",62.8,4,"L","R","hit_into_play","X","line_drive",1,2,NA,NA,NA,0,4
"23505","CU",69.6,7,"L","R","called_strike","S",NA,0,0,NA,NA,NA,2,1
"23506","FF",90.7,3,"R","R","foul","S",NA,1,0,NA,609275,NA,0,2
"23507","SI",92.4,5,"R","R","hit_into_play","X","ground_ball",2,2,NA,NA,NA,2,6
"23508","FS",88.7,8,"R","R","hit_into_play","X","fly_ball",0,2,NA,657136,NA,0,4
"23509","SL",84.7,5,"R","R","hit_into_play","X","popup",1,2,NA,NA,656252,0,5
"23510","CH",82.8,14,"R","L","ball","B",NA,0,1,NA,NA,NA,1,2
"23511","CH",85.1,8,"R","R","hit_into_play","X","fly_ball",2,2,488726,663656,NA,1,7
"23512","FF",93.4,11,"L","L","ball","B",NA,0,1,605131,405395,605141,1,2
"23513","SL",85.3,14,"L","R","ball","B",NA,0,2,NA,NA,NA,0,4
"23514","FC",93.6,4,"L","R","foul","S",NA,0,1,NA,NA,NA,1,2
"23515","SI",92,7,"L","R","called_strike","S",NA,1,1,NA,NA,NA,0,3
"23516","CH",82.4,13,"R","L","ball","B",NA,1,1,NA,NA,NA,2,3
"23517","FC",90.3,13,"L","L","called_strike","S",NA,0,1,NA,664238,664059,1,2
"23518","FF",95.5,5,"R","R","called_strike","S",NA,0,0,NA,NA,NA,0,1
"23519","SL",76.1,11,"L","R","ball","B",NA,1,0,NA,NA,657557,0,2
"23520","SL",86.2,11,"R","R","ball","B",NA,3,1,NA,488726,670541,2,5
"23521","FF",91.9,4,"L","R","called_strike","S",NA,1,0,NA,NA,NA,1,2
"23522","FF",92.4,11,"R","R","ball","B",NA,0,0,NA,NA,NA,2,1
"23523","SL",79,8,"R","R","called_strike","S",NA,0,2,NA,NA,NA,2,3
"23524","SL",80.9,14,"R","L","foul","S",NA,1,2,NA,NA,NA,0,4
"23525","FF",91.5,5,"R","R","called_strike","S",NA,0,0,NA,NA,NA,0,1
"23526","CU",78.7,11,"R","R","ball","B",NA,2,2,595375,650333,593871,2,5
"23527","SI",98.2,5,"R","R","called_strike","S",NA,0,0,NA,NA,NA,0,1
"23528","SI",89.9,6,"R","L","hit_into_play","X","line_drive",0,0,NA,NA,467793,1,1
"23529","FF",93.1,12,"R","R","ball","B",NA,1,2,NA,NA,NA,1,4
"23530","FF",92.6,11,"R","R","ball","B",NA,0,2,NA,NA,NA,0,3
"23531","FF",92.1,4,"L","L","foul","S",NA,3,1,NA,NA,608596,1,5
"23532","SI",95.3,8,"L","L","hit_into_play","X","ground_ball",1,2,NA,NA,NA,0,4
"23533","CH",80.7,3,"L","L","foul","S",NA,1,1,NA,607188,605113,0,3
"23534","SL",81,1,"R","R","called_strike","S",NA,1,1,NA,NA,545341,1,3
"23535","FF",93.7,2,"L","R","swinging_strike","S",NA,0,1,641857,NA,553869,1,2
"23536","FF",92.9,9,"R","R","called_strike","S",NA,0,0,NA,NA,NA,2,1
"23537","FC",85.9,4,"L","R","hit_into_play","X","ground_ball",0,0,519058,NA,621011,2,1
"23538","SI",93.6,9,"L","L","foul","S",NA,1,1,NA,592518,543333,1,3
"23539","FF",91.3,11,"L","R","ball","B",NA,0,0,NA,NA,570731,0,1
"23540","CU",81.8,11,"L","L","ball","B",NA,2,2,NA,607468,NA,2,5
"23541","CH",88.6,14,"R","R","ball","B",NA,1,1,621020,518595,594807,1,3
"23542","SL",87.3,1,"R","R","called_strike","S",NA,0,1,NA,NA,663898,1,2
"23543","CH",80.1,8,"L","R","swinging_strike","S",NA,0,2,571466,608385,592206,1,3
"23544","FF",94.1,12,"R","R","ball","B",NA,0,2,NA,NA,NA,0,3
