"","pitch_type","release_speed","zone","stand","p_throws","description","type","bb_type","balls","strikes","on_3b","on_2b","on_1b","outs_when_up","pitch_number"
"1","SI",94.2,13,"L","R","ball","B",NA,1,1,628450,657041,444876,1,3
"2","CU",75.6,4,"R","R","swinging_strike","S",NA,0,0,NA,624413,NA,2,1
"3","FF",89.7,6,"R","L","called_strike","S",NA,3,0,NA,NA,NA,2,4
"4","FF",93,2,"R","R","hit_into_play","X","line_drive",1,2,NA,NA,462101,2,6
"5","SI",92.2,12,"R","R","called_strike","S",NA,2,2,NA,NA,NA,0,5
"6","CH",88.8,13,"R","R","blocked_ball","B",NA,2,2,NA,NA,656775,2,5
"7","FF",94.6,12,"L","L","ball","B",NA,1,2,NA,NA,NA,0,4
"8","FS",91,7,"R","R","hit_into_play","X","ground_ball",1,0,NA,NA,NA,2,2
"9","FF",90.3,14,"R","L","called_strike","S",NA,0,0,NA,NA,NA,0,1
"10","FF",95.2,6,"L","L","foul","S",NA,2,0,NA,NA,NA,2,3
"11","SI",93.8,11,"L","R","ball","B",NA,0,0,NA,NA,NA,1,1
"12","SL",84.6,14,"R","R","blocked_ball","B",NA,0,1,NA,519299,547172,0,2
"13","SI",90.8,4,"L","L","foul","S",NA,1,1,NA,NA,NA,1,3
"14","SI",94.3,5,"R","L","called_strike","S",NA,0,0,NA,NA,547180,2,1
"15","SI",92.3,14,"R","L","ball","B",NA,0,0,NA,NA,NA,0,1
"16","CH",86.8,13,"L","R","swinging_strike","S",NA,0,0,NA,NA,516782,2,1
"17","CH",88.6,5,"R","L","hit_into_play","X","ground_ball",0,0,NA,NA,NA,1,1
"18","SL",80.4,5,"L","L","foul","S",NA,0,2,NA,NA,NA,0,3
"19","FF",90,1,"R","R","ball","B",NA,0,0,NA,NA,NA,1,1
"20","CH",81,9,"R","L","hit_into_play","X","fly_ball",0,0,NA,NA,670032,2,1
"21","SI",92.6,14,"L","R","ball","B",NA,1,0,NA,NA,NA,1,2
"22","SL",86.4,14,"L","R","ball","B",NA,1,2,NA,NA,NA,1,4
"23","SI",88.2,14,"R","R","ball","B",NA,2,1,NA,NA,NA,2,4
"24","FF",96.1,3,"R","R","swinging_strike","S",NA,1,1,NA,NA,500743,2,3
"25","SI",94.3,7,"R","L","foul","S",NA,1,0,NA,NA,NA,0,2
"26","FF",91,6,"R","L","foul","S",NA,0,1,NA,NA,NA,1,2
"27","SI",91.9,6,"L","R","called_strike","S",NA,1,0,NA,NA,NA,1,2
"28","CU",78.9,7,"R","R","swinging_strike","S",NA,1,2,NA,NA,570482,1,4
"29","SL",72.3,14,"R","R","ball","B",NA,0,2,NA,NA,621043,2,5
"30","SI",91.9,14,"R","R","ball","B",NA,0,1,NA,NA,NA,2,2
"31","KC",79.4,5,"R","L","called_strike","S",NA,0,0,NA,NA,NA,1,1
"32","SI",95.6,12,"L","L","swinging_strike","S",NA,0,2,NA,NA,NA,1,4
"33","CU",84.8,14,"R","R","ball","B",NA,0,0,NA,NA,547180,2,1
"34","CH",86.2,13,"L","R","hit_into_play","X","ground_ball",1,1,NA,NA,NA,2,3
"35","SI",92.6,11,"R","R","ball","B",NA,0,1,NA,NA,543305,1,2
"36","SI",92.4,7,"R","R","hit_into_play","X","ground_ball",1,1,NA,NA,NA,0,3
"37","CH",88.5,13,"R","R","swinging_strike","S",NA,2,2,NA,NA,607208,1,6
"38","SI",97.1,6,"R","R","hit_into_play","X","ground_ball",3,1,NA,663662,NA,1,5
"39","FC",89.5,9,"R","R","foul","S",NA,1,2,NA,NA,663898,2,4
"40","FF",93.7,8,"R","L","swinging_strike","S",NA,1,2,571970,656716,NA,2,5
"41","SI",92.9,8,"R","L","foul","S",NA,0,0,NA,NA,NA,0,1
"42","FF",91.8,1,"L","R","called_strike","S",NA,0,0,NA,NA,NA,0,1
"43","SL",87.1,5,"L","R","foul","S",NA,1,1,NA,NA,592192,1,3
"44","CU",81.8,5,"R","R","foul","S",NA,0,1,NA,NA,NA,0,2
"45","FF",94.9,13,"L","R","called_strike","S",NA,0,0,NA,546318,NA,1,1
"46","FF",91.2,6,"R","R","hit_into_play","X","ground_ball",2,0,NA,NA,673357,0,3
"47","FC",86.1,14,"L","R","foul_tip","S",NA,2,0,592696,NA,NA,2,3
"48","FF",98.8,5,"L","R","hit_into_play","X","fly_ball",1,2,NA,NA,NA,2,4
"49","SL",83.7,7,"L","L","swinging_strike","S",NA,0,1,NA,NA,NA,1,2
"50","FS",83.2,4,"L","R","swinging_strike","S",NA,1,1,514888,NA,NA,0,3
"51","SL",84.4,8,"R","R","swinging_strike","S",NA,1,2,NA,NA,519317,1,4
"52","CU",80.3,9,"L","L","missed_bunt","S",NA,0,0,NA,NA,NA,0,1
"53","SI",93.1,11,"L","R","ball","B",NA,0,1,NA,NA,NA,1,2
"54","SI",94.8,13,"R","R","ball","B",NA,1,1,NA,NA,553902,1,3
"55","FC",91.1,1,"L","R","swinging_strike","S",NA,3,1,NA,NA,NA,1,5
"56","FC",86.2,2,"R","L","hit_into_play","X","line_drive",1,1,NA,NA,NA,2,3
"57","FF",97.2,6,"R","L","swinging_strike","S",NA,2,1,NA,NA,NA,2,4
"58","FC",93,7,"R","R","called_strike","S",NA,0,0,NA,NA,NA,0,1
"59","FF",96.8,6,"L","R","called_strike","S",NA,0,0,NA,NA,NA,0,1
"60","FF",91.4,12,"L","L","ball","B",NA,0,1,NA,NA,NA,0,2
"61","SI",92.7,7,"R","R","hit_into_play","X","ground_ball",1,2,645302,NA,NA,2,5
"62","SI",93.4,6,"R","R","called_strike","S",NA,0,0,NA,624585,518692,1,1
"63","CH",88.5,4,"L","R","foul","S",NA,2,1,NA,521692,NA,1,4
"64","CU",77.2,4,"R","R","hit_into_play","X","fly_ball",0,1,NA,656427,669242,0,2
"65","FF",95.5,6,"R","R","called_strike","S",NA,0,0,671277,NA,518960,2,1
"66","FF",93,6,"R","R","called_strike","S",NA,1,2,NA,NA,NA,0,4
"67","FF",92.1,12,"L","R","foul","S",NA,2,1,NA,NA,NA,1,4
"68","CH",79.9,13,"R","L","ball","B",NA,2,0,609275,NA,NA,2,3
"69","SL",87.3,1,"L","L","swinging_strike","S",NA,1,1,NA,NA,NA,1,3
"70","SI",94.9,13,"R","R","ball","B",NA,1,1,NA,NA,519048,0,3
"71","SL",86.5,14,"R","R","ball","B",NA,1,2,NA,666135,593871,1,4
"72","SL",91.7,14,"R","R","ball","B",NA,0,0,NA,NA,669016,1,1
"73","FF",94.3,6,"L","R","called_strike","S",NA,0,0,514917,NA,642708,0,1
"74","SI",98.7,13,"L","R","hit_into_play","X","ground_ball",0,2,NA,624413,605204,2,3
"75","FC",100.1,9,"R","R","swinging_strike","S",NA,0,0,NA,NA,NA,1,1
"76","CH",80,9,"R","L","foul_tip","S",NA,0,0,NA,NA,624428,0,1
"77","SI",93.7,13,"R","R","ball","B",NA,0,1,NA,NA,666182,0,2
"78","FF",98.8,14,"R","R","ball","B",NA,0,0,NA,NA,669221,1,1
"79","FF",96.3,11,"L","R","ball","B",NA,0,1,NA,NA,NA,2,2
"80","FC",88.3,9,"L","R","foul","S",NA,2,1,665489,606192,NA,1,4
"81","CU",80.1,8,"L","R","foul","S",NA,1,2,NA,NA,NA,0,4
"82","FF",93.8,2,"L","L","hit_into_play","X","line_drive",2,2,NA,602074,NA,2,6
"83","FF",96.5,14,"R","L","ball","B",NA,0,0,NA,NA,NA,2,1
"84","CH",85.7,7,"L","R","hit_into_play","X","ground_ball",0,0,NA,NA,NA,1,1
"85","SL",85.1,14,"R","L","ball","B",NA,0,1,666971,545341,669289,2,2
"86","SL",84.5,5,"L","L","foul","S",NA,1,1,NA,NA,NA,1,3
"87","FF",92.5,2,"L","R","foul","S",NA,2,2,NA,660162,683734,1,8
"88","FF",92.2,8,"L","L","called_strike","S",NA,0,1,NA,NA,596847,1,2
"89","KC",80.1,14,"R","R","ball","B",NA,0,1,NA,NA,NA,1,2
"90","CH",85.1,7,"L","R","swinging_strike","S",NA,1,0,NA,624415,NA,2,2
"91","CU",75.9,14,"R","L","ball","B",NA,0,1,NA,NA,NA,0,2
"92","SI",96.2,14,"R","R","ball","B",NA,2,0,NA,NA,NA,0,3
"93","SI",88.5,4,"R","L","foul","S",NA,0,1,NA,NA,660271,1,2
"94","FS",88.2,11,"L","R","ball","B",NA,0,1,NA,NA,NA,2,2
"95","SL",85.9,13,"R","R","ball","B",NA,1,1,NA,NA,NA,1,3
"96","FC",82.4,11,"R","R","ball","B",NA,0,1,NA,NA,NA,0,2
"97","SI",92.5,13,"R","R","ball","B",NA,0,0,NA,660162,NA,1,1
"98","FF",96.2,8,"L","L","hit_into_play","X","line_drive",2,1,NA,NA,609280,1,4
"99","SL",89.1,14,"R","R","ball","B",NA,0,0,649966,641856,NA,2,1
"100","KC",84.7,3,"R","R","ball","B",NA,0,1,NA,NA,521692,1,2
"101","CH",85.4,8,"R","L","hit_into_play","X","popup",0,1,666915,NA,NA,2,2
"102","SI",90.6,13,"R","R","called_strike","S",NA,0,0,NA,NA,NA,0,1
"103","SI",92.4,13,"R","R","ball","B",NA,1,0,NA,NA,624424,2,2
"104","FF",89.2,13,"L","L","ball","B",NA,2,1,NA,NA,NA,2,4
"105","FC",88.7,11,"L","R","swinging_strike","S",NA,1,2,NA,NA,NA,0,4
"106","CH",84.7,12,"R","L","ball","B",NA,2,2,NA,NA,NA,0,5
"107","FF",84.4,14,"R","R","ball","B",NA,0,1,NA,NA,663993,0,2
"108","FF",91,14,"L","L","ball","B",NA,1,2,NA,NA,NA,1,5
"109","FF",94.8,11,"R","R","hit_into_play","X","line_drive",0,0,NA,NA,NA,2,1
"110","FF",93.6,5,"L","R","hit_into_play","X","line_drive",3,2,NA,572816,545341,1,6
"111","FF",95.9,2,"R","R","foul","S",NA,0,1,NA,NA,NA,0,2
"112","SL",78.3,7,"R","L","foul","S",NA,3,2,NA,642708,NA,2,7
"113","CU",79.7,5,"L","R","swinging_strike","S",NA,0,0,NA,NA,641820,0,1
"114","FF",92.7,12,"R","L","foul","S",NA,1,2,NA,NA,493329,2,4
"115","FF",95.9,6,"L","R","foul","S",NA,2,1,641658,NA,NA,1,4
"116","SI",89.8,13,"L","R","ball","B",NA,1,0,NA,NA,666198,1,2
"117","FF",93.7,2,"R","R","foul","S",NA,2,1,NA,NA,NA,0,4
"118","CH",85.1,14,"R","R","ball","B",NA,0,0,NA,NA,NA,0,1
"119","SL",79.3,8,"L","R","called_strike","S",NA,0,0,NA,NA,593934,0,1
"120","FF",93.4,8,"L","R","hit_into_play","X","ground_ball",2,0,NA,NA,NA,1,3
"121","SI",99.1,2,"R","R","swinging_strike","S",NA,0,1,NA,NA,572233,1,2
"122","SL",83.4,6,"L","L","hit_into_play","X","ground_ball",1,0,NA,593871,593934,2,2
"123","FF",96.6,11,"R","R","ball","B",NA,0,2,571740,NA,NA,1,4
"124","SL",79.7,14,"R","R","ball","B",NA,1,2,NA,621433,NA,2,4
"125","SI",90.2,13,"R","R","swinging_strike","S",NA,2,1,641933,NA,425877,1,4
"126","CU",79.7,8,"R","L","called_strike","S",NA,0,0,NA,NA,NA,1,1
"127","FF",91.3,2,"L","L","called_strike","S",NA,0,0,NA,NA,NA,0,1
"128","CU",81.4,12,"L","R","ball","B",NA,0,0,NA,NA,NA,2,1
"129","CH",84.3,5,"R","L","called_strike","S",NA,0,0,NA,NA,NA,2,1
"130","SI",90.4,5,"L","R","swinging_strike","S",NA,2,2,NA,NA,NA,1,6
"131","SI",82.6,7,"L","R","foul","S",NA,2,2,NA,NA,596115,0,5
"132","FF",92.8,12,"R","R","called_strike","S",NA,0,0,NA,NA,NA,0,1
"133","FF",91.7,11,"L","R","ball","B",NA,0,0,NA,NA,NA,1,1
"134","CH",84.4,13,"L","L","ball","B",NA,0,1,NA,NA,NA,0,2
"135","FF",89,9,"L","L","hit_into_play","X","line_drive",0,0,NA,663647,668804,0,1
"136","SI",93.3,14,"R","L","ball","B",NA,2,0,NA,NA,571970,0,3
"137","CU",72.6,14,"L","L","ball","B",NA,0,0,NA,NA,645302,1,1
"138","CU",74.7,6,"L","R","hit_into_play","X","ground_ball",2,0,622761,NA,NA,2,3
"139","FC",84.7,13,"L","L","ball","B",NA,0,1,NA,NA,NA,2,2
"140","FF",83.7,5,"L","R","hit_into_play","X","ground_ball",3,2,NA,NA,NA,0,10
"141","FF",92.6,11,"L","R","ball","B",NA,1,0,543063,NA,NA,1,2
"142","CH",80.4,8,"L","R","swinging_strike","S",NA,2,2,NA,NA,NA,2,5
"143","CU",76.9,6,"R","R","foul","S",NA,0,1,NA,NA,NA,2,2
"144","SL",87.5,9,"R","R","called_strike","S",NA,2,1,NA,NA,NA,2,4
"145","FF",96.9,4,"R","R","foul","S",NA,1,2,663538,545350,642727,0,6
"146","FF",91.3,5,"L","R","called_strike","S",NA,3,0,NA,NA,NA,0,4
"147","FC",89.3,12,"L","R","hit_into_play","X","ground_ball",0,1,NA,NA,NA,0,2
"148","FC",88.1,14,"R","R","swinging_strike","S",NA,0,0,NA,NA,592626,1,1
"149","KC",83.1,8,"L","R","called_strike","S",NA,0,2,NA,NA,NA,1,3
"150","SI",95.6,6,"L","L","hit_into_play","X","line_drive",0,0,NA,NA,NA,0,1
"151","FF",93.7,8,"R","L","hit_into_play","X","ground_ball",3,1,NA,458015,571980,0,5
"152","SI",91.3,11,"L","R","ball","B",NA,0,0,NA,664056,NA,1,1
"153","CU",76,14,"R","L","called_strike","S",NA,0,0,NA,458015,NA,2,1
"154","SI",96.7,11,"R","R","ball","B",NA,0,0,NA,657077,NA,0,1
"155","CU",85.1,7,"R","R","called_strike","S",NA,0,1,NA,NA,NA,1,2
"156","SL",88.7,8,"L","R","foul","S",NA,1,1,605421,NA,NA,0,3
"157","FF",94,11,"L","R","called_strike","S",NA,1,1,NA,NA,NA,0,3
"158","SI",91.4,11,"R","R","ball","B",NA,0,0,NA,NA,NA,1,1
"159","FF",97.9,9,"R","R","called_strike","S",NA,0,1,NA,NA,NA,1,2
"160","KC",78.4,13,"L","R","foul","S",NA,0,1,NA,NA,NA,0,2
"161","SI",88.7,1,"R","L","foul","S",NA,1,2,NA,NA,NA,0,5
"162","CH",88,13,"R","R","foul","S",NA,0,2,NA,NA,NA,0,3
"163","FF",91.6,14,"R","R","ball","B",NA,1,0,NA,NA,600869,2,2
"164","SL",74.4,8,"R","R","called_strike","S",NA,0,0,NA,NA,NA,0,1
"165","SI",92.1,11,"R","R","ball","B",NA,0,0,NA,NA,NA,0,1
"166","FF",92,6,"R","R","called_strike","S",NA,1,0,NA,NA,NA,0,2
"167","FF",94.2,5,"R","R","foul","S",NA,1,0,NA,NA,NA,2,2
"168","SI",89.4,5,"R","L","hit_into_play","X","line_drive",0,0,NA,NA,514917,1,1
"169","SL",84.2,13,"L","R","swinging_strike","S",NA,0,1,NA,NA,474832,2,2
"170","CU",79.7,4,"L","R","swinging_strike","S",NA,0,1,NA,NA,NA,1,2
"171","CH",79.2,6,"R","L","called_strike","S",NA,1,0,NA,NA,NA,0,2
"172","CU",81.5,9,"L","R","foul","S",NA,1,2,NA,NA,NA,0,5
"173","SL",81.2,7,"L","R","called_strike","S",NA,2,1,668942,NA,NA,1,4
"174","CH",92.9,14,"L","R","ball","B",NA,0,1,NA,NA,NA,2,2
"175","CU",75.8,13,"L","L","ball","B",NA,1,2,NA,NA,NA,1,4
"176","SI",92.8,4,"R","R","foul_tip","S",NA,0,0,NA,NA,NA,0,1
"177","CH",81.7,9,"L","R","foul","S",NA,1,2,NA,NA,592200,1,6
"178","SL",89.9,14,"L","R","ball","B",NA,1,1,643217,NA,NA,2,3
"179","FF",92.6,11,"L","R","ball","B",NA,0,0,NA,NA,NA,0,1
"180","CU",81.6,2,"L","R","called_strike","S",NA,0,0,650391,NA,544725,1,1
"181","FF",96.2,11,"L","L","called_strike","S",NA,0,0,NA,NA,NA,0,1
"182","SI",90.4,14,"R","R","ball","B",NA,3,2,NA,NA,NA,0,6
"183","SI",88.4,7,"L","L","called_strike","S",NA,1,1,NA,NA,NA,1,3
"184","FS",83.7,14,"R","L","ball","B",NA,0,1,NA,624413,624424,1,2
"185","FF",93,11,"L","R","ball","B",NA,1,0,NA,NA,641553,1,2
"186","FC",92.1,14,"R","R","ball","B",NA,0,0,NA,NA,NA,0,1
"187","CU",78.8,9,"R","L","foul_tip","S",NA,0,2,NA,NA,NA,0,3
"188","FF",95.2,9,"L","R","foul","S",NA,2,2,NA,NA,NA,2,6
"189","FF",100.1,2,"L","R","foul","S",NA,3,1,NA,518692,NA,2,5
"190","FF",93.9,5,"L","R","hit_into_play","X","ground_ball",2,2,NA,NA,NA,2,5
"191","SI",89.8,8,"R","R","called_strike","S",NA,0,0,NA,NA,606132,0,1
"192","FF",92.9,6,"L","R","foul","S",NA,3,2,NA,NA,641680,0,6
"193","CU",80.3,5,"L","R","called_strike","S",NA,1,0,NA,542932,605119,2,2
"194","SL",84.3,13,"R","L","ball","B",NA,3,0,NA,NA,NA,1,4
"195","SL",84.8,3,"R","R","called_strike","S",NA,0,0,NA,669394,NA,2,1
"196","SL",85.9,12,"R","R","swinging_strike","S",NA,0,1,NA,NA,NA,0,2
"197","FF",99.1,11,"L","R","swinging_strike","S",NA,1,2,663697,NA,608385,1,4
"198","SL",87.6,1,"R","L","hit_into_play","X","ground_ball",2,2,NA,NA,NA,2,5
"199","FC",92.4,11,"R","R","foul","S",NA,0,0,NA,NA,NA,2,1
"200","SL",83.4,14,"L","R","foul_tip","S",NA,2,1,NA,606992,663662,2,4
"201","FF",96.6,2,"R","R","swinging_strike","S",NA,0,0,NA,NA,NA,0,1
"202","CU",76.2,13,"R","R","ball","B",NA,0,2,NA,NA,NA,1,3
"203","SL",82.5,14,"R","R","ball","B",NA,1,2,NA,664913,572039,2,4
"204","SL",83.3,14,"R","R","ball","B",NA,0,2,NA,NA,NA,0,3
"205","CH",79,5,"R","L","foul","S",NA,0,1,NA,NA,NA,1,2
"206","CU",79.6,4,"L","R","hit_into_play","X","fly_ball",1,1,NA,NA,NA,2,3
"207","CU",80.1,14,"R","R","ball","B",NA,2,0,NA,NA,670351,2,3
"208","SI",94.1,2,"L","R","foul","S",NA,0,0,NA,NA,NA,1,1
"209","FF",96.3,6,"R","R","hit_into_play","X","ground_ball",0,0,NA,NA,NA,0,1
"210","CH",83,14,"R","R","ball","B",NA,3,2,NA,NA,NA,2,6
"211","SL",86.1,14,"R","R","ball","B",NA,1,0,614177,NA,641343,2,2
"212","SI",91.5,4,"R","R","hit_into_play","X","ground_ball",0,1,NA,605141,608369,0,2
"213","FC",87,3,"R","R","ball","B",NA,1,0,NA,NA,NA,0,2
"214","SL",81.6,13,"L","R","ball","B",NA,3,1,656941,NA,543228,1,5
"215","SL",87.7,13,"R","R","swinging_strike","S",NA,1,0,NA,NA,NA,2,2
"216","SI",97.8,7,"R","R","foul","S",NA,3,0,664702,NA,642708,1,4
"217","SI",92.3,1,"L","L","called_strike","S",NA,0,0,NA,NA,650333,2,1
"218","SI",93,1,"L","R","called_strike","S",NA,1,1,NA,NA,670764,0,3
"219","CH",91.6,3,"R","R","called_strike","S",NA,0,0,NA,NA,NA,2,1
"220","SI",88.3,4,"L","R","foul","S",NA,2,0,NA,NA,NA,2,3
"221","CH",83,13,"L","R","foul","S",NA,0,1,NA,NA,592743,2,2
"222","SL",83,13,"L","L","hit_into_play","X","ground_ball",1,2,660271,NA,543685,2,4
"223","CU",77.8,14,"R","R","swinging_strike","S",NA,0,1,NA,NA,NA,0,2
"224","FF",90.4,11,"R","L","ball","B",NA,3,0,NA,NA,657041,2,4
"225","CU",74.4,5,"L","L","called_strike","S",NA,0,0,NA,NA,NA,0,1
"226","FC",91.6,14,"R","R","ball","B",NA,0,0,NA,NA,NA,1,1
"227","SL",87.6,12,"L","R","ball","B",NA,1,2,NA,NA,456501,0,4
"228","FF",95.3,6,"R","R","called_strike","S",NA,1,0,NA,NA,NA,2,2
"229","CH",83.3,12,"R","L","ball","B",NA,2,0,628338,NA,656794,0,3
"230","CH",89.4,13,"R","L","ball","B",NA,1,2,621043,608324,663656,2,4
"231","FF",93.9,11,"L","R","ball","B",NA,0,0,668731,570731,NA,0,1
"232","CH",81.9,8,"L","R","hit_into_play","X","fly_ball",1,1,NA,NA,NA,0,3
"233","FF",96.9,13,"L","R","ball","B",NA,0,0,NA,621566,669221,2,1
"234","FF",91.4,11,"R","R","foul","S",NA,2,0,668670,NA,668731,1,3
"235","FF",94.9,12,"R","R","called_strike","S",NA,0,0,NA,NA,NA,1,1
"236","FF",94.7,13,"L","L","ball","B",NA,3,0,NA,570481,NA,2,4
"237","SI",97.6,5,"R","R","hit_into_play","X","line_drive",1,2,NA,NA,NA,0,4
"238","SI",96.6,14,"R","R","ball","B",NA,0,2,NA,NA,NA,2,3
"239","FF",92.9,2,"L","R","hit_into_play","X","line_drive",2,2,NA,NA,NA,1,5
"240","CU",81.1,13,"L","R","swinging_strike","S",NA,3,2,NA,NA,NA,2,6
"241","FF",92.3,6,"L","L","called_strike","S",NA,1,1,NA,NA,NA,0,3
"242","FF",96.1,14,"R","R","ball","B",NA,3,1,543939,553882,543768,1,5
"243","SI",97.5,6,"R","R","called_strike","S",NA,1,1,NA,NA,493329,2,3
"244","FF",99.4,6,"R","R","foul","S",NA,1,2,542340,NA,642086,1,4
"245","SL",87.2,14,"R","R","ball","B",NA,3,2,NA,593934,663616,2,7
"246","CH",85.9,8,"R","L","foul","S",NA,1,2,NA,NA,543309,0,5
"247","SL",86.4,8,"R","R","foul","S",NA,0,0,NA,NA,624424,0,1
"248","SI",95,14,"R","L","ball","B",NA,0,0,NA,NA,622110,1,1
"249","CH",82.9,6,"R","L","swinging_strike","S",NA,0,0,NA,NA,NA,0,1
"250","FF",95.2,6,"L","R","called_strike","S",NA,3,0,NA,NA,628450,1,4
"251","SL",82.9,14,"R","R","ball","B",NA,0,2,NA,666969,641680,1,3
"252","FF",95.5,11,"L","R","swinging_strike","S",NA,1,1,NA,665862,516782,2,3
"253","FF",93.2,3,"L","R","hit_into_play","X","ground_ball",1,2,NA,NA,NA,2,5
"254","FF",98.3,4,"L","R","foul","S",NA,0,0,NA,NA,605170,1,1
"255","FC",86.9,8,"R","L","hit_into_play","X","ground_ball",1,0,NA,NA,NA,2,2
"256","CH",86.5,14,"R","L","swinging_strike","S",NA,1,1,NA,NA,673490,2,3
"257","SL",82.5,13,"R","R","ball","B",NA,0,0,NA,NA,NA,0,1
"258","FF",93.5,12,"R","R","ball","B",NA,2,2,NA,NA,571448,0,5
"259","FF",92.7,7,"L","R","called_strike","S",NA,0,1,NA,NA,NA,0,2
"260","SL",86,14,"R","R","swinging_strike","S",NA,1,1,NA,NA,NA,0,3
"261","SL",83.7,9,"R","R","hit_into_play","X","fly_ball",1,1,NA,NA,NA,0,3
"262","SI",94.8,12,"L","R","ball","B",NA,0,0,NA,NA,NA,1,1
"263","CH",88.1,13,"L","R","ball","B",NA,2,2,NA,NA,NA,1,9
"264","CH",88.7,4,"L","R","foul","S",NA,1,2,NA,NA,640457,1,5
"265","SI",93.9,6,"R","L","foul","S",NA,0,1,NA,NA,NA,1,2
"266","FF",96.1,14,"R","R","foul","S",NA,0,1,NA,NA,NA,2,2
"267","SL",84.7,14,"R","R","ball","B",NA,1,1,NA,NA,NA,1,3
"268","FF",97.4,9,"R","R","foul","S",NA,1,2,NA,NA,NA,0,4
"269","FF",96.2,11,"L","R","ball","B",NA,0,2,NA,NA,606992,1,3
"270","SI",95.5,2,"R","L","foul_tip","S",NA,2,2,NA,NA,609275,1,6
"271","SI",90.7,12,"L","L","hit_into_play","X","ground_ball",1,1,NA,NA,NA,0,3
"272","SL",88.6,6,"R","R","foul","S",NA,1,1,NA,NA,NA,1,3
"273","SI",91.9,13,"R","R","ball","B",NA,1,1,NA,NA,NA,0,3
"274","FF",96.5,13,"L","R","foul","S",NA,2,2,NA,NA,NA,0,7
"275","SI",91.7,12,"R","L","ball","B",NA,0,2,NA,NA,641933,1,3
"276","FF",92.2,13,"L","R","ball","B",NA,2,1,NA,NA,662139,2,4
"277","SI",94,2,"R","L","foul","S",NA,0,2,571980,NA,663886,1,3
"278","FF",96.3,13,"R","R","ball","B",NA,0,0,NA,NA,NA,0,1
"279","FC",88.1,12,"R","L","ball","B",NA,0,1,545361,665120,NA,2,2
"280","FF",95.6,14,"R","L","called_strike","S",NA,3,0,NA,NA,NA,0,4
"281","CU",71.5,6,"R","L","called_strike","S",NA,0,0,NA,NA,NA,0,1
"282","FC",96.4,8,"L","R","called_strike","S",NA,1,1,NA,NA,668731,2,3
"283","CH",88.7,14,"L","R","ball","B",NA,3,2,543939,541645,596129,2,6
"284","SI",95.7,13,"R","R","ball","B",NA,0,0,NA,657077,NA,2,1
"285","SL",82.1,5,"R","L","hit_into_play","X","ground_ball",0,1,NA,NA,630105,2,2
"286","FF",92.5,14,"R","R","hit_into_play","X","line_drive",0,1,NA,NA,607054,1,2
"287","SL",86.5,14,"R","R","ball","B",NA,0,2,NA,NA,NA,1,4
"288","SI",94,14,"R","R","ball","B",NA,1,2,NA,NA,541645,1,4
"289","FF",90.3,4,"L","R","foul","S",NA,1,0,NA,NA,NA,0,2
"290","CU",76.5,11,"L","R","ball","B",NA,0,0,668804,592567,607732,2,1
"291","CU",80.3,13,"R","R","blocked_ball","B",NA,2,2,656555,544369,546318,2,8
"292","FC",83.1,6,"L","R","foul","S",NA,2,1,NA,NA,NA,1,4
"293","FF",92.3,6,"R","L","swinging_strike","S",NA,2,0,NA,NA,NA,0,3
"294","FF",97.8,4,"L","R","swinging_strike","S",NA,2,1,NA,NA,NA,0,4
"295","FF",91.8,1,"L","R","foul","S",NA,2,2,NA,NA,NA,0,5
"296","FF",91.4,5,"R","L","foul","S",NA,1,2,NA,642201,608336,1,4
"297","SI",98.5,2,"L","L","ball","B",NA,0,0,NA,542963,656185,1,1
"298","SL",80.3,14,"R","R","ball","B",NA,2,1,NA,425877,657557,2,4
"299","FF",90.3,12,"L","R","foul","S",NA,1,1,NA,624513,NA,1,3
"300","FF",91.7,12,"R","L","called_strike","S",NA,3,0,NA,NA,665120,2,4
"301","FF",93.1,11,"L","R","ball","B",NA,0,0,476704,519048,656305,2,1
"302","SI",91.9,13,"L","R","ball","B",NA,2,1,NA,NA,NA,2,4
"303","FF",93.5,5,"R","R","foul","S",NA,1,2,NA,NA,596019,0,4
"304","FF",94.5,14,"R","R","ball","B",NA,2,2,NA,NA,NA,2,5
"305","FF",93.5,5,"R","R","foul","S",NA,0,0,NA,NA,502481,1,1
"306","SI",96.4,1,"R","R","called_strike","S",NA,1,1,NA,NA,NA,1,3
"307","SI",96,8,"L","R","foul","S",NA,0,1,NA,NA,665862,2,2
"308","KN",78.1,11,"L","R","ball","B",NA,2,1,NA,NA,NA,2,4
"309","CU",76.6,13,"L","L","hit_into_play","X","ground_ball",0,1,NA,NA,NA,2,2
"310","FF",94,14,"R","R","ball","B",NA,1,1,575929,621550,NA,2,3
"311","FF",92.4,2,"R","R","ball","B",NA,0,0,NA,NA,657077,0,1
"312","SI",95.1,6,"R","R","called_strike","S",NA,0,1,NA,NA,NA,0,2
"313","SL",86.8,9,"R","R","swinging_strike","S",NA,2,1,NA,NA,NA,2,4
"314","SI",90.8,13,"R","R","ball","B",NA,0,0,NA,630105,NA,0,1
"315","SI",91.9,1,"R","R","called_strike","S",NA,0,0,NA,NA,NA,0,1
"316","CH",84.8,7,"L","R","hit_into_play","X","fly_ball",2,1,NA,NA,NA,1,4
"317","SL",85.3,9,"R","R","swinging_strike","S",NA,0,0,NA,NA,NA,1,1
"318","FF",90.8,1,"R","R","called_strike","S",NA,0,0,NA,NA,NA,0,1
