"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
72,665877,"Fermín, José",72,100,0.2,0,0.231,0.2,0.266,0.252,0.171,3,15,83,19.9,2181,89.7,90.35,1,28,44,0.5999999999999943,6.63,108,152,112,147,300,323,292,"1.1","-1.1",64.07544927985403,"7.212108519"
72,670770,"Friedl, TJ",73,98.6,0.19,0.048,0.235,0.238,0.235,0.279,0.251,4,21,83.6,9.5,2220,87.1,87.51,6,28,44,0.4000000000000057,6.56,111,145,91,150,282,316,290,"1","-1",69.24503744579451,"6.760126154"
69,666018,"Aranda, Jonathan",69,100,0.2,0,0.25,0.2,0.239,0.345,0.297,3,15,92.3,0.4,2236,87.3,87.16,4,26,43,-0.09999999999999432,6.36,114,148,125,151,277,320,305,"1.6","-1.6",66.76140492435259,"7.156152"
67,542364,"Ortega, Rafael",68,98.5,0,0,0,0,0.087,0.273,0.191,0,13,85.1,11.6,2303,90.5,91.24,8,26,41,0.7000000000000028,6.61,106,140,103,149,288,320,298,"2.9","-2.9",69.16647335533757,"6.9203888"
65,669477,"Schmitt, Casey",65,100,0.136,0.045,0.176,0.182,0.139,0.205,0.191,3,22,88.5,19.9,2227,88.4,88.87,8,39,26,0.5,6.51,109,149,110,148,301,321,282,"2.3","-2.3",68.8485256005047,"7.52644697"
61,680911,"Miller, Owen",61,100,0.118,0,0.2,0.118,0.105,0.159,0.164,2,17,87.2,21.8,2356,87.6,87.66,11,33,28,0.10000000000000853,6.33,107,150,115,145,304,316,283,"1.8","-1.8",68.64381145849062,"6.990447879"
61,680718,"Barger, Addison",61,100,0.056,0,0.083,0.056,0.05,0.235,0.196,1,18,84.8,3.3,2422,88.7,88.59,11,36,25,-0.10000000000000853,6.3,117,146,128,153,284,321,293,"3.9","-3.9",74.25168751444559,"7.611319143"
59,664059,"Haggerty, Sam",59,100,0.067,0,0.091,0.067,0.099,0.193,0.167,1,15,84.3,5.7,2025,87.8,87.89,8,28,31,0.10000000000000853,6.27,107,147,103,144,293,320,287,"2.4","-2.4",67.69605852320191,"7.010984231"
56,518792,"Heyward, Jason",56,100,0.235,0.176,0.188,0.412,0.289,0.249,0.208,4,17,82.4,23.2,2334,88.1,87.63,9,34,22,-0.5,5.97,110,143,115,150,299,323,302,"0.6","-0.6",73.8823041000577,"8.321246"
51,681146,"Bride, Jonah",51,100,0.167,0.083,0.2,0.25,0.22,0.305,0.286,2,12,86.1,7.1,2322,85.7,85.19,6,23,28,-0.5,6.07,108,150,118,146,300,316,288,"2.2","-2.2",67.99460993717597,"7.216354"
49,663550,"Cabbage, Trey",49,100,0.214,0.071,0.273,0.286,0.219,0.397,0.315,3,14,97,3,2095,88.3,88.25,7,29,20,0,6.36,115,146,117,153,289,326,301,"-0.4","0.4",74.28573665862115,"8.059670909"
48,666197,"Kessinger, Grae",48,100,0,0,0,0,0,0.092,0.093,0,11,75.3,-5.2,2304,88.1,88.03,10,23,25,-0.09999999999999432,6.48,116,153,116,147,292,324,291,"3.6","-3.6",70.52626883344205,"7.0050535"
45,686780,"Pagés, Pedro",45,100,0.125,0.125,0.167,0.25,0.28,0.446,0.175,1,8,93.6,16,2257,90.3,90.24,5,20,25,-0.09999999999999432,6.32,106,152,121,146,305,322,289,"-1.2","1.2",68.33160780179988,"6.503053"
44,661531,"Serven, Brian",45,97.8,0,0,0,0,0.158,0.192,0.044,0,7,71,-10,2359,89.3,89.38,6,14,30,0.10000000000000853,6.5,111,150,118,145,296,325,285,"1.5","-1.5",68.16497259720214,"7.916328571"
41,677950,"Thomas, Alek",41,100,0.214,0.286,0.2,0.5,0.304,0.332,0.286,3,14,91.6,-2.3,2138,89.1,89.58,8,26,15,0.5,6.53,97,144,109,149,296,325,301,"0.4","-0.4",,
40,682617,"Luciano, Marco",40,100,0.333,0.222,0.5,0.556,0.414,0.326,0.256,3,9,86.7,17.7,2279,90.6,90.44,5,17,23,-0.19999999999998863,6.18,112,151,123,146,300,323,294,"0","0",68.13006273405304,"6.835708125"
37,666211,"Trammell, Taylor",37,100,0.143,0,0.25,0.143,0.198,0.161,0.093,1,7,82,31.3,1863,82.5,82.52,5,19,18,0,6.05,113,144,119,151,294,323,302,"0.1","-0.1",72.77754431416815,"6.973093333"
37,656883,"Reetz, Jakson",37,100,0.083,0.25,0,0.333,0.175,0.265,0.176,1,12,87.4,16.3,2333,91.4,91.79,11,24,13,0.3999999999999915,6.58,105,151,121,147,300,323,286,"1.6","-1.6",67.23847197212568,"7.168725455"
36,643393,"Kemp, Tony",37,97.3,0,0,0,0,0,0.128,0.122,0,8,82.8,17.6,2120,90.5,90.67,3,21,15,0.20000000000000284,6.55,103,145,111,151,283,318,292,"2.1","-2.1",59.719024938104184,"6.586147778"
